name,brand,gender,category,size,price,color,url,img_url,article_no,blob_url
Solhatt,NEWBIE BABY,girl,Accessoarer,44/46  - Ej i lager,"79,90:-",Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872192,https://www.kappahl.com/ProductImages/872192/872192_F.jpg?preset=ProductImageMagnified,872192,https://storage.googleapis.com/urbankiddo/kappah/872192
Solhatt,NEWBIE BABY,girl,Accessoarer,48/50 ,"79,90:-",Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872192,https://www.kappahl.com/ProductImages/872192/872192_F.jpg?preset=ProductImageMagnified,872192,https://storage.googleapis.com/urbankiddo/kappah/872192
Presentbox,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/presentbox/500967,https://www.kappahl.com/ProductImages/500967/500967_F.jpg?preset=ProductImageMagnified,500967,https://storage.googleapis.com/urbankiddo/kappah/500967
Mössa,NEWBIE BABY,girl,Accessoarer,00/03 M ,"69,90:-",Grå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossa/145649,https://www.kappahl.com/ProductImages/145649/145649_F.jpg?preset=ProductImageMagnified,145649,https://storage.googleapis.com/urbankiddo/kappah/145649
Mössa,NEWBIE BABY,girl,Accessoarer,04/06 M ,"69,90:-",Grå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossa/145649,https://www.kappahl.com/ProductImages/145649/145649_F.jpg?preset=ProductImageMagnified,145649,https://storage.googleapis.com/urbankiddo/kappah/145649
2-pack Mössa,NEWBIE BABY,girl,Accessoarer,40/42  - Ej i lager,"69,50:-",Beige,https://www.kappahl.com/sv-SE/barn/storlek-44-86/2-pack-mossa/612689,https://www.kappahl.com/ProductImages/612689/612689_L.jpg?preset=ProductImageMagnified,612689,https://storage.googleapis.com/urbankiddo/kappah/612689
2-pack Mössa,NEWBIE BABY,girl,Accessoarer,44/46 ,"69,50:-",Beige,https://www.kappahl.com/sv-SE/barn/storlek-44-86/2-pack-mossa/612689,https://www.kappahl.com/ProductImages/612689/612689_L.jpg?preset=ProductImageMagnified,612689,https://storage.googleapis.com/urbankiddo/kappah/612689
Mössa,NEWBIE BABY,girl,Accessoarer,40/42 ,"69,90:-",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossa/239921,https://www.kappahl.com/ProductImages/239921/239921_L.jpg?preset=ProductImageMagnified,239921,https://storage.googleapis.com/urbankiddo/kappah/239921
Mössa,NEWBIE BABY,girl,Accessoarer,44/46  - Ej i lager,"69,90:-",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossa/239921,https://www.kappahl.com/ProductImages/239921/239921_L.jpg?preset=ProductImageMagnified,239921,https://storage.googleapis.com/urbankiddo/kappah/239921
Mössa,NEWBIE BABY,girl,Accessoarer,48/50  - Ej i lager,"69,90:-",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossa/239921,https://www.kappahl.com/ProductImages/239921/239921_L.jpg?preset=ProductImageMagnified,239921,https://storage.googleapis.com/urbankiddo/kappah/239921
