name,brand,gender,category,size,price,url,img_url,article_no
Pingu Purple,PAX Scandinavia,girl,skor,EU 30,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Puma Pink,PAX Scandinavia,girl,skor,EU 24,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 25,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 26,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 27,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 28,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 29,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Puma Pink,PAX Scandinavia,girl,skor,EU 30,850 SEK,https://www.afound.com/sv-se/produkter/puma-pink_1r4tl0f5,https://www.afound.com/globalassets/1/kids/shoes/501011_2dfbb00f09ed0f9854ab7733be4fa9a5.jpg?preset=w100h100,1947116
Silva Sneakers Silver,Din Sko,girl,skor,EU 31 FÅ KVAR!,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 32,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 33,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 34,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 35,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 36,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 37,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Silva Sneakers Silver,Din Sko,girl,skor,EU 38,249 SEK,https://www.afound.com/sv-se/produkter/silva-sneakers-silver_o4hv08fy,https://www.afound.com/globalassets/1/kids/shoes/481964_55b240e09d386a91af124b1e28cd2d65.jpg?preset=w100h100,1884296
Sigge Sneakers Svart/rosa,Linear,girl,skor,EU 25,399 SEK,https://www.afound.com/sv-se/produkter/sigge-sneakers-svartrosa_8qiju36s,https://www.afound.com/globalassets/1/kids/shoes/463943_c2416677e97357d2d421355d8f306e75.jpg?preset=w100h100,1836038
Sigge Sneakers Svart/rosa,Linear,girl,skor,EU 26,399 SEK,https://www.afound.com/sv-se/produkter/sigge-sneakers-svartrosa_8qiju36s,https://www.afound.com/globalassets/1/kids/shoes/463943_c2416677e97357d2d421355d8f306e75.jpg?preset=w100h100,1836038
Sigge Sneakers Svart/rosa,Linear,girl,skor,EU 27,399 SEK,https://www.afound.com/sv-se/produkter/sigge-sneakers-svartrosa_8qiju36s,https://www.afound.com/globalassets/1/kids/shoes/463943_c2416677e97357d2d421355d8f306e75.jpg?preset=w100h100,1836038
Sigge Sneakers Svart/rosa,Linear,girl,skor,EU 28,399 SEK,https://www.afound.com/sv-se/produkter/sigge-sneakers-svartrosa_8qiju36s,https://www.afound.com/globalassets/1/kids/shoes/463943_c2416677e97357d2d421355d8f306e75.jpg?preset=w100h100,1836038
