name,brand,gender,category,size,price,color,url,img_url,article_no
Body från Petter & Kajsa,Petter&Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,"Grey, 80","119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-fran-petter-kajsa-p46662135,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image434/body_frn_petter_amp_kajsa-46662135-60007527-org.jpg,46662135
Body från Petter & Kajsa,Petter&Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,"Grey, 86","119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-fran-petter-kajsa-p46662135,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image434/body_frn_petter_amp_kajsa-46662135-60007527-org.jpg,46662135
"Body, Blå",Petter & Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,56 (1-2 Mån),"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-p39569440-25031199,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image646/body-39569440-25031199-org.peg,39569440
"Body, Blå",Petter & Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,62 (2-4 Mån) - Bevaka storlek,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-p39569440-25031199,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image646/body-39569440-25031199-org.peg,39569440
"Body, Blå",Petter & Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,68 (4-6 Mån) - Bevaka storlek,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-p39569440-25031199,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image646/body-39569440-25031199-org.peg,39569440
"Body, Blå",Petter & Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,74 (6-9 Mån),"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-p39569440-25031199,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image646/body-39569440-25031199-org.peg,39569440
"Body, Blå",Petter & Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,80 (9-12 Mån) - Bevaka storlek,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-p39569440-25031199,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image646/body-39569440-25031199-org.peg,39569440
"Overall i ekologisk bomull, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858980,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image979/overall_i_ekologisk_bomull-47544005-62858980-org.jpg,47544005
"Overall i ekologisk bomull, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858980,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image979/overall_i_ekologisk_bomull-47544005-62858980-org.jpg,47544005
"Overall i ekologisk bomull, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858980,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image979/overall_i_ekologisk_bomull-47544005-62858980-org.jpg,47544005
"Overall i ekologisk bomull, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858980,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image979/overall_i_ekologisk_bomull-47544005-62858980-org.jpg,47544005
"Overall i ekologisk bomull, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858980,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image979/overall_i_ekologisk_bomull-47544005-62858980-org.jpg,47544005
"Jumpsuit i ekologisk bomull, White patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/jumpsuit-i-ekologisk-bomull-p47642465-63292354,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image617/jumpsuit-47642465-63292354-org.jpg,47642465
"Jumpsuit i ekologisk bomull, White patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/jumpsuit-i-ekologisk-bomull-p47642465-63292354,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image617/jumpsuit-47642465-63292354-org.jpg,47642465
"Jumpsuit i ekologisk bomull, White patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/jumpsuit-i-ekologisk-bomull-p47642465-63292354,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image617/jumpsuit-47642465-63292354-org.jpg,47642465
"Jumpsuit i ekologisk bomull, White patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/jumpsuit-i-ekologisk-bomull-p47642465-63292354,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image617/jumpsuit-47642465-63292354-org.jpg,47642465
"Jumpsuit i ekologisk bomull, White patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/jumpsuit-i-ekologisk-bomull-p47642465-63292354,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image617/jumpsuit-47642465-63292354-org.jpg,47642465
"Body, Vit",Ellos Kids,"
Flicka			",BODIES & SPARKDRÄKTER,62 (2-4 Mån) - Bevaka storlek,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-p39569446-25031284,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image9/body-39569446-25031284-org.peg,39569446
"Body, Vit",Ellos Kids,"
Flicka			",BODIES & SPARKDRÄKTER,68 (4-6 Mån),"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-p39569446-25031284,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image9/body-39569446-25031284-org.peg,39569446
"Body, Vit",Ellos Kids,"
Flicka			",BODIES & SPARKDRÄKTER,80 (9-12 Mån),"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-p39569446-25031284,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image9/body-39569446-25031284-org.peg,39569446
"Body, Vit",Ellos Kids,"
Flicka			",BODIES & SPARKDRÄKTER,"86 (1-1,5 År)","119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-p39569446-25031284,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image9/body-39569446-25031284-org.peg,39569446
"Body, Vit",Ellos Kids,"
Flicka			",BODIES & SPARKDRÄKTER,"92 (1,5-2 År)","119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-p39569446-25031284,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image9/body-39569446-25031284-org.peg,39569446
Randig body overall i marinblått och grönt av finaste bambu,Walking,"
Pojke			",BODIES & SPARKDRÄKTER,50,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/randig-body-overall-i-marinblatt-och-gront-av-finaste-bambu-p34958917,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image777/randig_body_overall_i_marinbltt_och_grnt_av_finaste_bambu-34958917-8622952-org.jpg,34958917
Randig body overall i marinblått och grönt av finaste bambu,Walking,"
Pojke			",BODIES & SPARKDRÄKTER,56,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/randig-body-overall-i-marinblatt-och-gront-av-finaste-bambu-p34958917,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image777/randig_body_overall_i_marinbltt_och_grnt_av_finaste_bambu-34958917-8622952-org.jpg,34958917
Randig body overall i marinblått och grönt av finaste bambu,Walking,"
Pojke			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/randig-body-overall-i-marinblatt-och-gront-av-finaste-bambu-p34958917,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image777/randig_body_overall_i_marinbltt_och_grnt_av_finaste_bambu-34958917-8622952-org.jpg,34958917
Randig body overall i marinblått och grönt av finaste bambu,Walking,"
Pojke			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/randig-body-overall-i-marinblatt-och-gront-av-finaste-bambu-p34958917,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image777/randig_body_overall_i_marinbltt_och_grnt_av_finaste_bambu-34958917-8622952-org.jpg,34958917
