name,brand,gender,category,size,price,color,composition,url,img_url,article_no,blob_url
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",149kr,svart/knallrosa,"95% bomull, 5% elastan",https://www.bonprix.se/produkt/jerseyklaenning-svart-knallrosa-953313/#image,https://image01.bonprix.se/assets/460x644/1481547046/16233518-5JalsJbD.jpg,95331395
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek104/110
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek116/122
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",129kr,svart/blålila,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-svart-blalila-923486/#image,https://image01.bonprix.se/assets/460x644/1560757098/19143246-n8uJNcsG.jpg,92348695
"Jumpsuit, 7/8-längd",bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",89kr,mörk turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-7-8-laengd-moerk-turkos-912331/#image,https://image01.bonprix.se/assets/460x644/1553777453/19070991-Qyo0LfZQ.jpg,91233181
"Jumpsuit, 7/8-längd",bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",89kr,mörk turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-7-8-laengd-moerk-turkos-912331/#image,https://image01.bonprix.se/assets/460x644/1553777453/19070991-Qyo0LfZQ.jpg,91233181
"Jumpsuit, 7/8-längd",bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",89kr,mörk turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-7-8-laengd-moerk-turkos-912331/#image,https://image01.bonprix.se/assets/460x644/1553777453/19070991-Qyo0LfZQ.jpg,91233181
"Jumpsuit, 7/8-längd",bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",89kr,mörk turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-7-8-laengd-moerk-turkos-912331/#image,https://image01.bonprix.se/assets/460x644/1553777453/19070991-Qyo0LfZQ.jpg,91233181
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek116/122
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Trikåklänning  med vändbara paljetter för flickor,bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",149kr,ultraviolett,100% bomull,https://www.bonprix.se/produkt/trikaklaenning-med-vaendbara-paljetter-foer-flickor-ultraviolett-925011/#image,https://image01.bonprix.se/assets/460x644/1535617862/18204728-q4DMT56L.jpg,92501195
Sommarklänning (2-pack),bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",159kr,aqua/ljus pink,100% bomull,https://www.bonprix.se/produkt/sommarklaenning-2-pack-aqua-ljus-pink-907175/#image,https://image01.bonprix.se/assets/460x644/1524030155/18069344-6HmIwOQy.jpg,90717595
Sommarklänning (2-pack),bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",159kr,aqua/ljus pink,100% bomull,https://www.bonprix.se/produkt/sommarklaenning-2-pack-aqua-ljus-pink-907175/#image,https://image01.bonprix.se/assets/460x644/1524030155/18069344-6HmIwOQy.jpg,90717595
Sommarklänning (2-pack),bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",159kr,aqua/ljus pink,100% bomull,https://www.bonprix.se/produkt/sommarklaenning-2-pack-aqua-ljus-pink-907175/#image,https://image01.bonprix.se/assets/460x644/1524030155/18069344-6HmIwOQy.jpg,90717595
Sommarklänning (2-pack),bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",159kr,aqua/ljus pink,100% bomull,https://www.bonprix.se/produkt/sommarklaenning-2-pack-aqua-ljus-pink-907175/#image,https://image01.bonprix.se/assets/460x644/1524030155/18069344-6HmIwOQy.jpg,90717595
Sommarklänning (2-pack),bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",159kr,aqua/ljus pink,100% bomull,https://www.bonprix.se/produkt/sommarklaenning-2-pack-aqua-ljus-pink-907175/#image,https://image01.bonprix.se/assets/460x644/1524030155/18069344-6HmIwOQy.jpg,90717595
Klänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",149kr,"blå, mönstrad",100% polyester,https://www.bonprix.se/produkt/klaenning-aqua-moenstrad-972617/#image,https://image01.bonprix.se/assets/460x644/1487061883/14188084-YxtfOgdc.jpg,97261795
Klänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",149kr,"blå, mönstrad",100% polyester,https://www.bonprix.se/produkt/klaenning-aqua-moenstrad-972617/#image,https://image01.bonprix.se/assets/460x644/1487061883/14188084-YxtfOgdc.jpg,97261795
Klänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",149kr,"blå, mönstrad",100% polyester,https://www.bonprix.se/produkt/klaenning-aqua-moenstrad-972617/#image,https://image01.bonprix.se/assets/460x644/1487061883/14188084-YxtfOgdc.jpg,97261795
Klänning,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",149kr,"blå, mönstrad",100% polyester,https://www.bonprix.se/produkt/klaenning-aqua-moenstrad-972617/#image,https://image01.bonprix.se/assets/460x644/1487061883/14188084-YxtfOgdc.jpg,97261795
Klänning,bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",149kr,"blå, mönstrad",100% polyester,https://www.bonprix.se/produkt/klaenning-aqua-moenstrad-972617/#image,https://image01.bonprix.se/assets/460x644/1487061883/14188084-YxtfOgdc.jpg,97261795
Klänning + bolero (2 delar),bpc bonprix collection,girl,Dresses,"
Storlek116/122
	                ",169kr,turkos/svart,100% bomull,https://www.bonprix.se/produkt/klaenning-bolero-2-delar-turkos-svart-943524/#image,https://image01.bonprix.se/assets/460x644/1528967070/18117520-FzdS14f3.jpg,94352495
Klänning + bolero (2 delar),bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",169kr,turkos/svart,100% bomull,https://www.bonprix.se/produkt/klaenning-bolero-2-delar-turkos-svart-943524/#image,https://image01.bonprix.se/assets/460x644/1528967070/18117520-FzdS14f3.jpg,94352495
Klänning + bolero (2 delar),bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",169kr,turkos/svart,100% bomull,https://www.bonprix.se/produkt/klaenning-bolero-2-delar-turkos-svart-943524/#image,https://image01.bonprix.se/assets/460x644/1528967070/18117520-FzdS14f3.jpg,94352495
Klänning + bolero (2 delar),bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",169kr,turkos/svart,100% bomull,https://www.bonprix.se/produkt/klaenning-bolero-2-delar-turkos-svart-943524/#image,https://image01.bonprix.se/assets/460x644/1528967070/18117520-FzdS14f3.jpg,94352495
Klänning + bolero (2 delar),bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",169kr,turkos/svart,100% bomull,https://www.bonprix.se/produkt/klaenning-bolero-2-delar-turkos-svart-943524/#image,https://image01.bonprix.se/assets/460x644/1528967070/18117520-FzdS14f3.jpg,94352495
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek128
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek134
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek140
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek146
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek152
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek158
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
