name,brand,gender,category,size,price,composition,color,url,img_url,article_no
Raggsockor ull baby gråmelange,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",22 24,74 kr 149 kr,"65% Ull, 30% Polyamid, 5% Elastan",Gråmelange,https://www.polarnopyret.se/barnklader/kampanjer/sommarrea/raggsockor-ull-baby-gramelange-60384862-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853069657.jpg?ref=3692BF8E92&w=960&h=960&mode=max,60384862
Badbyxor mörk marinblå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",110 116,90 kr 179 kr,"80% Polyamid, 20% Elastan",Mörk marinblå,https://www.polarnopyret.se/barnklader/badklader/badbyxor/badbyxor-mork-marinbla-60403332-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853641297.jpg?ref=073444C629&w=960&h=960&mode=max,60403332
Sweatshirtshorts med tryck beige,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",146 152,150 kr 299 kr,100% Bomull,Beige,https://www.polarnopyret.se/barnklader/underdelar/shorts/sweatshirtshorts-med-tryck-beige-60408459-317,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853939691.jpg?ref=9CCE1B7C26&w=960&h=960&mode=max,60408459
Frottétröja med tryck gul,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",146 152,174 kr 349 kr,"80% Bomull,20% Polyester",Gul,https://www.polarnopyret.se/barnklader/overdelar/trojor-toppar/frottetroja-med-tryck-gul-60408647-613,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853830790.jpg?ref=6C1FFD7E83&w=960&h=960&mode=max,60408647
Topp med kattapplikation lila,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",116,124 kr 249 kr,"95% Bomull, 5% Elastan",Lila,https://www.polarnopyret.se/barnklader/overdelar/t-shirts-linnen/topp-med-kattapplikation-lila-60404140-787,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853676565.jpg?ref=AF7032494B&w=960&h=960&mode=max,60404140
Linne med leopardtryck korallrosa,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",116,124 kr 249 kr,"97% Bomull,3% Elastan",Korallrosa,https://www.polarnopyret.se/barnklader/overdelar/t-shirts-linnen/linne-med-leopardtryck-korallrosa-60408524-851,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853827325.jpg?ref=47FE1ABFE3&w=960&h=960&mode=max,60408524
Body med krage baby turkos,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",68,114 kr 229 kr,100% Bomull,Turkos,https://www.polarnopyret.se/barnklader/overdelar/bodies-sparkdrakter/body-med-krage-baby-turkos-60408536-815,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853828070.jpg?ref=611971242A&w=960&h=960&mode=max,60408536
Sweatshirtshorts med banantryck turkos,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",146 152,150 kr 299 kr,100% Bomull,Turkos,https://www.polarnopyret.se/barnklader/underdelar/shorts/sweatshirtshorts-med-banantryck-turkos-60408460-833,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853823136.jpg?ref=6D1700B3F2&w=960&h=960&mode=max,60408460
Topp med blomtryck baby vit,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",80,124 kr 249 kr,100% Bomull,Vit,https://www.polarnopyret.se/barnklader/kollektioner/festklader/topp-med-blomtryck-baby-vit-60408642-469,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853838796.jpg?ref=637CC16450&w=960&h=960&mode=max,60408642
Jeansshorts ljus denim,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",152,150 kr 299 kr,100% Bomull,Ljus denim,https://www.polarnopyret.se/barnklader/underdelar/shorts/jeansshorts-ljus-denim-60408448-989,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853822917.jpg?ref=5604E65F63&w=960&h=960&mode=max,60408448
