article_no,gender,category,price,size,brand
13930,unisex,jeans,150,160,lager157
13930,unisex,jeans,150,140,lager157
13930,unisex,jeans,150,120,lager157
13930,unisex,jeans,150,90,lager157
13930,unisex,jeans,150,100,lager157
13930,unisex,jeans,150,130,lager157
13930,unisex,jeans,150,150,lager157
13930,unisex,jeans,150,110,lager157
13930,unisex,jeans,150,160,lager157
13930,unisex,jeans,150,140,lager157
13930,unisex,jeans,150,120,lager157
13909,unisex,jeans,200,90,lager157
13909,unisex,jeans,200,100,lager157
13909,unisex,jeans,200,130,lager157
13909,unisex,jeans,200,150,lager157
13909,unisex,jeans,200,110,lager157
13909,unisex,jeans,200,160,lager157
13909,unisex,jeans,200,140,lager157
13909,unisex,jeans,200,120,lager157
13524,unisex,jeans,80,90,lager157
13524,unisex,jeans,80,100,lager157
13524,unisex,jeans,80,130,lager157
13524,unisex,jeans,80,150,lager157
13524,unisex,jeans,80,110,lager157
13524,unisex,jeans,80,160,lager157
13524,unisex,jeans,80,140,lager157
13524,unisex,jeans,80,120,lager157
13524,unisex,jeans,80,90,lager157
13524,unisex,jeans,80,100,lager157
13524,unisex,jeans,80,130,lager157
13524,unisex,jeans,80,150,lager157
13524,unisex,jeans,80,110,lager157
13524,unisex,jeans,80,160,lager157
13524,unisex,jeans,80,140,lager157
13524,unisex,jeans,80,120,lager157
13908,unisex,jeans,300,90,lager157
13908,unisex,jeans,300,100,lager157
13908,unisex,jeans,300,130,lager157
13908,unisex,jeans,300,150,lager157
13908,unisex,jeans,300,110,lager157
13908,unisex,jeans,300,160,lager157
13908,unisex,jeans,300,140,lager157
13908,unisex,jeans,300,120,lager157
13908,unisex,jeans,300,90,lager157
13908,unisex,jeans,300,100,lager157
13908,unisex,jeans,300,130,lager157
13908,unisex,jeans,300,150,lager157
13908,unisex,jeans,300,110,lager157
13908,unisex,jeans,300,160,lager157
13908,unisex,jeans,300,140,lager157
13908,unisex,jeans,300,120,lager157
12564,unisex,jeans,150,90,lager157
12564,unisex,jeans,150,100,lager157
12564,unisex,jeans,150,130,lager157
12564,unisex,jeans,150,150,lager157
12564,unisex,jeans,150,110,lager157
12564,unisex,jeans,150,160,lager157
12564,unisex,jeans,150,140,lager157
12564,unisex,jeans,150,120,lager157
12564,unisex,jeans,150,90,lager157
12564,unisex,jeans,150,100,lager157
12564,unisex,jeans,150,130,lager157
12564,unisex,jeans,150,150,lager157
12564,unisex,jeans,150,110,lager157
12564,unisex,jeans,150,160,lager157
12564,unisex,jeans,150,140,lager157
12564,unisex,jeans,150,120,lager157
13647,unisex,jeans,35,90,lager157
13647,unisex,jeans,35,100,lager157
13647,unisex,jeans,35,130,lager157
13647,unisex,jeans,35,150,lager157
13647,unisex,jeans,35,110,lager157
13647,unisex,jeans,35,160,lager157
13647,unisex,jeans,35,140,lager157
13647,unisex,jeans,35,120,lager157
13647,unisex,jeans,35,90,lager157
13647,unisex,jeans,35,100,lager157
13647,unisex,jeans,35,130,lager157
13647,unisex,jeans,35,150,lager157
13647,unisex,jeans,35,110,lager157
13647,unisex,jeans,35,160,lager157
13647,unisex,jeans,35,140,lager157
13647,unisex,jeans,35,120,lager157
10062,unisex,ytterkläder,300,90,lager157
10062,unisex,ytterkläder,300,100,lager157
10062,unisex,ytterkläder,300,130,lager157
10062,unisex,ytterkläder,300,150,lager157
10062,unisex,ytterkläder,300,110,lager157
10062,unisex,ytterkläder,300,160,lager157
10062,unisex,ytterkläder,300,140,lager157
