article_no,gender,category,price,size,brand
583070,boy,Bodys &amp; set,69,86,NEWBIE BABY
600742,boy,Bodys &amp; set,69,56,NEWBIE BABY
600742,boy,Bodys &amp; set,69,62,NEWBIE BABY
600742,boy,Bodys &amp; set,69,68,NEWBIE BABY
600742,boy,Bodys &amp; set,69,74,NEWBIE BABY
600742,boy,Bodys &amp; set,69,80,NEWBIE BABY
600742,boy,Bodys &amp; set,69,86,NEWBIE BABY
609081,boy,Bodys &amp; set,69,56,NEWBIE BABY
609081,boy,Bodys &amp; set,69,62,NEWBIE BABY
609081,boy,Bodys &amp; set,69,68,NEWBIE BABY
609081,boy,Bodys &amp; set,69,74,NEWBIE BABY
609081,boy,Bodys &amp; set,69,80,NEWBIE BABY
609081,boy,Bodys &amp; set,69,86,NEWBIE BABY
606954,boy,Bodys &amp; set,90,56,NEWBIE BABY
606954,boy,Bodys &amp; set,90,62,NEWBIE BABY
606954,boy,Bodys &amp; set,90,68,NEWBIE BABY
606954,boy,Bodys &amp; set,90,74,NEWBIE BABY
606954,boy,Bodys &amp; set,90,80,NEWBIE BABY
606954,boy,Bodys &amp; set,90,86,NEWBIE BABY
554048,boy,Bodys &amp; set,69,56,NEWBIE BABY
554048,boy,Bodys &amp; set,69,62,NEWBIE BABY
554048,boy,Bodys &amp; set,69,68,NEWBIE BABY
554048,boy,Bodys &amp; set,69,74,NEWBIE BABY
554048,boy,Bodys &amp; set,69,80,NEWBIE BABY
554048,boy,Bodys &amp; set,69,86,NEWBIE BABY
688572,boy,Bodys &amp; set,69,56,NEWBIE BABY
688572,boy,Bodys &amp; set,69,62,NEWBIE BABY
688572,boy,Bodys &amp; set,69,68,NEWBIE BABY
688572,boy,Bodys &amp; set,69,74,NEWBIE BABY
688572,boy,Bodys &amp; set,69,80,NEWBIE BABY
688572,boy,Bodys &amp; set,69,86,NEWBIE BABY
554006,boy,Bodys &amp; set,69,56,NEWBIE BABY
554006,boy,Bodys &amp; set,69,62,NEWBIE BABY
554006,boy,Bodys &amp; set,69,68,NEWBIE BABY
554006,boy,Bodys &amp; set,69,74,NEWBIE BABY
554006,boy,Bodys &amp; set,69,80,NEWBIE BABY
554006,boy,Bodys &amp; set,69,86,NEWBIE BABY
534271,boy,Bodys &amp; set,69,56,NEWBIE BABY
534271,boy,Bodys &amp; set,69,62,NEWBIE BABY
534271,boy,Bodys &amp; set,69,68,NEWBIE BABY
534271,boy,Bodys &amp; set,69,74,NEWBIE BABY
534271,boy,Bodys &amp; set,69,80,NEWBIE BABY
534271,boy,Bodys &amp; set,69,86,NEWBIE BABY
606905,boy,Bodys &amp; set,129,56,NEWBIE BABY
606905,boy,Bodys &amp; set,129,62,NEWBIE BABY
606905,boy,Bodys &amp; set,129,68,NEWBIE BABY
606905,boy,Bodys &amp; set,129,74,NEWBIE BABY
606905,boy,Bodys &amp; set,129,80,NEWBIE BABY
606905,boy,Bodys &amp; set,129,86,NEWBIE BABY
609784,boy,Bodys &amp; set,64,62,DESIGN BY KAPPAHL
609784,boy,Bodys &amp; set,64,68,DESIGN BY KAPPAHL
609784,boy,Bodys &amp; set,64,74,DESIGN BY KAPPAHL
609784,boy,Bodys &amp; set,64,80,DESIGN BY KAPPAHL
609784,boy,Bodys &amp; set,64,86,DESIGN BY KAPPAHL
553974,boy,Bodys &amp; set,69,56,NEWBIE BABY
553974,boy,Bodys &amp; set,69,62,NEWBIE BABY
553974,boy,Bodys &amp; set,69,68,NEWBIE BABY
553974,boy,Bodys &amp; set,69,74,NEWBIE BABY
553974,boy,Bodys &amp; set,69,80,NEWBIE BABY
553974,boy,Bodys &amp; set,69,86,NEWBIE BABY
608190,boy,Bodys &amp; set,90,56,NEWBIE BABY
608190,boy,Bodys &amp; set,90,62,NEWBIE BABY
608190,boy,Bodys &amp; set,90,68,NEWBIE BABY
608190,boy,Bodys &amp; set,90,74,NEWBIE BABY
608190,boy,Bodys &amp; set,90,80,NEWBIE BABY
608190,boy,Bodys &amp; set,90,86,NEWBIE BABY
534289,boy,Bodys &amp; set,69,56,NEWBIE BABY
534289,boy,Bodys &amp; set,69,62,NEWBIE BABY
534289,boy,Bodys &amp; set,69,68,NEWBIE BABY
534289,boy,Bodys &amp; set,69,74,NEWBIE BABY
534289,boy,Bodys &amp; set,69,80,NEWBIE BABY
534289,boy,Bodys &amp; set,69,86,NEWBIE BABY
