article_no,gender,category,price,size,brand
60420190,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
60420247,unisex,"Underkläder & Nattplagg
(292)",149,86-92,polarnopyret
60420217,unisex,"Underkläder & Nattplagg
(292)",199,62-68,polarnopyret
60381237,unisex,"Underkläder & Nattplagg
(292)",129,110-116,polarnopyret
60420255,unisex,"Underkläder & Nattplagg
(292)",149,110-116,polarnopyret
60381239,unisex,"Underkläder & Nattplagg
(292)",129,146-152,polarnopyret
60349448,unisex,"Underkläder & Nattplagg
(292)",99,62-68,polarnopyret
60381211,unisex,"Underkläder & Nattplagg
(292)",149,122-128,polarnopyret
60400338,unisex,"Underkläder & Nattplagg
(292)",129,50-56,polarnopyret
60381227,unisex,"Underkläder & Nattplagg
(292)",149,28-30,polarnopyret
60381208,unisex,"Underkläder & Nattplagg
(292)",129,86-92,polarnopyret
60381226,unisex,"Underkläder & Nattplagg
(292)",149,22-24,polarnopyret
60384806,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60419769,unisex,"Underkläder & Nattplagg
(292)",349,146-152,polarnopyret
60420161,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60408431,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404137,unisex,"Underkläder & Nattplagg
(292)",74,146-152,polarnopyret
60400282,unisex,"Underkläder & Nattplagg
(292)",50,22-24,polarnopyret
60404136,unisex,"Underkläder & Nattplagg
(292)",74,110-116,polarnopyret
60404079,unisex,"Underkläder & Nattplagg
(292)",40,40-42,polarnopyret
60404077,unisex,"Underkläder & Nattplagg
(292)",40,28-30,polarnopyret
60400334,unisex,"Underkläder & Nattplagg
(292)",50,40-42,polarnopyret
60400336,unisex,"Underkläder & Nattplagg
(292)",74,122-128,polarnopyret
60400327,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60400613,unisex,"Underkläder & Nattplagg
(292)",50,110-116,polarnopyret
60400333,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60400333,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404068,unisex,"Underkläder & Nattplagg
(292)",50,40-42,polarnopyret
